Sample	Location	Region	Het_muskoxmap	estimate
BI-28	BI	CaIS	0.000144222	all
BI-30	BI	CaIS	0.000122963	all
BI-31	BI	CaIS	0.000140107	all
BI-32	BI	CaIS	0.000148377	all
BI-33	BI	CaIS	0.000158609	all
BI-35	BI	CaIS	0.000152461	all
BI-36	BI	CaIS	0.000122347	all
BI-37	BI	CaIS	0.000155502	all
BL-1	BL	CaME	0.000338899	all
BL-10	BL	CaME	0.000349106	all
BL-11	BL	CaME	0.000361581	all
BL-13	BL	CaME	0.000257128	all
BL-14	BL	CaME	0.000369726	all
BL-15	BL	CaME	0.000326841	all
BL-17	BL	CaME	0.000362029	all
BL-2	BL	CaME	0.00034099	all
BL-20	BL	CaME	0.000365475	all
BL-23	BL	CaME	0.000352503	all
BL-24	BL	CaME	0.00036271	all
BL-4	BL	CaME	0.000350691	all
BL-6	BL	CaME	0.000356245	all
CH-2	CH	CaME	0.000266515	all
CH-3	CH	CaME	0.000261119	all
CH-4	CH	CaME	0.000237951	all
CH-5	CH	CaME	0.000278468	all
CH-6	CH	CaME	0.000335863	all
CH-7	CH	CaME	0.0003326	all
CH-8	CH	CaME	0.000343769	all
CI-1	CI	CaIN	0.000121549	all
CI-5	CI	CaIS	0.000160233	all
CI-6	CI	CaIS	0.000195944	all
CI-8	CI	CaIN	0.000105726	all
CM-1	CM	CaIS	0.000121046	all
CM-2	CM	CaIS	0.000133441	all
DI-16	DI	CaIN	0.000086627	all
DI-2	DI	CaIN	0.000212945	all
DI-3	DI	CaIN	0.000116105	all
DI-4	DI	CaIN	0.0000922663	all
DI-5	DI	CaIN	0.0000896151	all
DI-7	DI	CaIN	0.000080076	all
EI-23	EI	CaIN	0.000111905	all
EI-26	EI	CaIN	0.0001158	all
EI-28	EI	CaIN	0.0000998673	all
EU-1	EU	CaIN	0.000116734	all
EU-12	EU	CaIN	0.000126323	all
EU-15	EU	CaIN	0.000113083	all
EU-19	EU	CaIN	0.000104732	all
EU-7	EU	CaIN	0.00011027	all
FR-2	FR	CaIN	0.000133003	all
